time[s],xPos[m],yPos[m],zPos[m],speed[m/s],speed protern[m/s],acceleration[m/s^2],vx[m/s],vy[m/s],vz[m/s],ax[m/s^2],ay[m/s^2],az[m/s^2],aCourse[m/s^2],aCentripetal[m/s^2],Ekin[J],Epot [J],Pkin[W],Ppot[W],Curvature
0,0.2769282848271,-3.30297660202308,2983.38,11.6953410274685,10.4972222222222,2.76391050664493,-1.09487338687957,11.0053235293426,-3.8033022533041,-2.70050693790926,-0.343094262152955,-0.478278051267142,0.0854943698595816,2.75906682426918,5477.34875750068,107458.27351049,174.976855073252,-2960.86244673785,0.0201971610245397
0.1,0.176926441368056,-2.2353485649294,2983.11,11.6953410274685,10.8333333333333,2.76391050664493,-1.09487338687957,11.0053235293426,-3.8033022533041,-2.70050693790926,-0.343094262152955,-0.478278051267142,0.0854943698595816,2.75906682426918,5465.5242459334,107287.812755246,174.976855073252,-2960.86244673785,0.0201971610245397
0.2,0.0923093186547606,-1.13435459784833,2982.86,11.6953410274685,11.1333333333333,2.76391050664493,-1.09487338687957,11.0053235293426,-3.8033022533041,-2.70050693790926,-0.343094262152955,-0.478278051267142,0.0854943698595816,2.75906682426918,5463.23790351831,107078.075412588,174.976855073252,-2960.86244673785,0.0201971610245397
0.3,0,0,2982.59,11.6953410274685,11.5444444444444,2.76391050664493,-1.09487338687957,11.0053235293426,-3.8033022533041,-2.70050693790926,-0.343094262152955,-0.478278051267142,0.0854943698595816,2.75906682426918,5468.332889641,106835.281342658,174.976855073252,-2960.86244673785,0.0201971610245397
0.4,-0.0692321286049454,1.10099377902345,2982.24,11.6953410274685,11.45,2.76391050664493,-1.09487338687957,11.0053235293426,-3.8033022533041,-2.70050693790926,-0.343094262152955,-0.478278051267142,0.0854943698595816,2.75906682426918,5478.78863838784,106565.650405595,174.976855073252,-2960.86244673785,0.0201971610245397
0.5,-0.130771848693421,2.2131085003576,2981.86,11.6953410274685,11.4666666666667,2.76391050664493,-1.09487338687957,11.0053235293426,-3.8033022533041,-2.70050693790926,-0.343094262152955,-0.478278051267142,0.0854943698595816,2.75906682426918,5492.60511783156,106275.402461539,174.976855073252,-2960.86244673785,0.0201971610245397
0.6,-0.253850791273931,3.29185710706412,2981.45,11.699053831516,11.3777777777778,4.56403863048555,-1.5812547840684,10.8938733728033,-3.96118881119008,-4.51669748508555,-0.456137238369073,-0.470989669270263,0.345209728695168,4.54385381767273,5458.07070926313,105978.440727273,473.059323707406,-3073.19113371492,0.0332507908699528
0.7,-0.461546988854456,4.37060817409516,2981.05,11.7537058105219,11.4111111111111,6.29623790912697,-2.18729535293976,10.8313103844035,-4.00600233100482,-6.22859722557197,-0.674079887258105,-0.626741346584716,0.751536640597106,6.24921096797107,5517.1753646916,105665.32565035,739.671035612204,-3160.71969550295,0.0452496730088921
0.8,-0.715397140631506,5.46047767235407,2980.66,11.8597434758269,11.5305555555556,7.74528494562184,-2.90961955122273,10.7810173864343,-3.99465811965954,-7.63891308045477,-1.14056816128668,-0.579266870787939,1.03238479023901,7.68277126201094,5643.32780607315,105345.569958042,864.830299785719,-3210.75486560124,0.0545750473488152
0.9,-1.06924958223158,6.52810739669684,2980.29,11.9631530481174,11.6361111111111,8.71865244961183,-3.68407662113984,10.653797574713,-4.00514763014925,-8.48655575933201,-1.98918527126784,-0.190824100789331,0.905866797802423,8.67410602782734,5751.29055152637,105027.588755245,692.037735307869,-3220.62454757469,0.0605900289083794
1,-1.45387180602889,7.58461581207728,2979.88,12.0759769167253,11.6944444444444,9.4512478026826,-4.52789632409146,10.4500820934358,-4.01536519036728,-8.89037356329056,-3.11139805383605,0.778810043233997,0.382007847761004,9.43625697909989,5837.94974063846,104710.77834965,362.875708282863,-3162.91756989057,0.0647574237879837
1.1,-1.93080191897464,8.63000051844831,2979.46,12.145145675691,11.8694444444444,10.388672118175,-5.42068412509007,10.0727661277024,-4.0816822066843,-9.22739420292321,-4.2982586807925,2.07477153339753,-0.143688949779532,10.3877927816004,5822.87028196024,104388.205426574,40.6740327293775,-3011.76376057619,0.0704227592833022
1.2,-2.53081216219267,9.60866080315826,2979.07,12.0942901053963,11.9388888888889,10.9950952482944,-6.38567307293547,9.56276712544891,-3.74813519813625,-9.1655025737926,-5.06779080280821,3.34711494691168,-0.205025646439539,10.995057030411,5794.83765155257,104097.829426573,37.2288598063261,-2791.0213037319,0.0751558368031741
1.3,-3.22312973452104,10.5428343556508,2978.7,12.0175276841337,12.0555555555556,10.7856061590716,-7.25994644231001,8.97586207541863,-3.33886946387133,-8.5674377695079,-5.21228714119055,3.96993363193809,0.179677447568836,10.7849943151174,5747.60651278126,103825.161734266,353.795191963772,-2533.00087176217,0.0746713535385667
1.4,-4.0077579752962,11.4214044953026,2978.36,12.055763831408,12.2055555555556,9.45719993489826,-8.11156532098112,8.47104945852361,-2.79020979021094,-7.47163713324578,-4.69534522772339,3.40102960149388,0.940843324391291,9.43847673945736,5842.92874936835,103588.422881119,922.552184789415,-2290.3588798142,0.0647460481458023
1.5,-4.83084835761374,12.2221267598972,2978.07,12.1716538183489,12.0777777777778,7.12833819995093,-8.77583375223324,8.06390285382876,-2.47130924631123,-5.94977032489827,-3.65956732121313,1.4216207635472,1.57665799723426,7.01186177916262,5980.35935928218,103374.624335664,1483.39620137751,-2144.55796958215,0.0469242489082961
1.6,-5.74624559422911,13.0006054710875,2977.99,12.3434179692276,12.2527777777778,5.01316708186707,-9.25714592055271,7.77246014135444,-2.50081585081775,-4.08816604881473,-2.47881472358054,-1.50805176111249,1.81065089331471,4.67516149763522,6147.43922371438,103164.886993007,1637.25029928761,-2160.70895267907,0.0306823424792162
1.7,-6.66164456371118,13.7679644452398,2977.63,12.4955737357399,12.3666666666667,4.27315264100094,-9.53260859516932,7.58604994735327,-2.77859362859662,-1.89922002969354,-1.40414100760931,-3.56106512196198,1.38828281022482,4.001597451873,6287.62306868649,102949.039552448,1127.08050550974,-2324.35930363399,0.0258829627805357
1.8,-7.66935004293297,14.5686853615643,2977.4,12.6710211220722,12.9027777777778,4.30659617514623,-9.65434151726909,7.52523766365256,-3.27402874903072,0.625460725052602,-0.459010663995466,-4.23613959962833,0.345407604478955,4.29224220429536,6422.15570962288,102711.788475524,-28.3837760255197,-2569.35186626942,0.0267368080626142
1.9,-8.60782554942601,15.2915597799623,2976.97,12.714542640458,12.6083333333333,4.51645022650661,-9.48865460370718,7.53333794251244,-3.85666278166408,3.16056146370455,0.601588218992101,-3.16974218153894,-1.04076744261793,4.35760178772786,6385.71923836589,102437.949986014,-1331.37741759698,-2814.05623551304,0.0271861234739126
2,-9.53091573450772,16.0366765544162,2976.56,12.5309226114088,12.4361111111111,6.08196735834852,-9.04194329143383,7.60851462190268,-4.16866744366875,5.69355614856552,1.75620920585918,-1.22044031251186,-2.63596381740016,5.45911074992365,6162.35595275274,102134.823272727,-2538.10792643818,-2979.41602458091,0.0349058712133573
2.1,-10.4001565553602,16.8151548731994,2976.18,12.0449876478464,12.2333333333333,8.57103962338338,-8.2941844064698,7.79587596708142,-3.938597513599,8.03183667108978,2.90996097597816,0.696022293342383,-3.87490570131095,7.73629673823626,5779.44066690128,101822.513118881,-3303.83321397189,-3031.0800381425,0.0526952492614414
2.2,-11.2309366712993,17.6158771744387,2975.75,11.6185942177795,12.1638888888889,10.9391687691956,-7.37709759085888,8.15281825208867,-3.7552253302262,10.0441005286446,3.86488166186721,1.96064980840202,-4.29908411853767,10.1945086267236,5409.12287916386,101528.569846154,-3431.12261435968,-2971.6944672101,0.0745156043438705
2.3,-11.8770968580798,18.4388395179396,2975.36,11.2824645947122,11.3194444444444,12.3759580569197,-6.35514281809465,8.64946561430623,-3.4774864024878,11.3517829065422,4.52303839958057,1.96048114127396,-3.53095573032044,11.9360857927741,5136.68610825651,101231.754461539,-2795.85999059677,-2853.0537053147,0.0931824190480082
