time[s],xPos[m],yPos[m],zPos[m],speed[m/s],speed protern[m/s],acceleration[m/s^2],vx[m/s],vy[m/s],vz[m/s],ax[m/s^2],ay[m/s^2],az[m/s^2],aCourse[m/s^2],aCentripetal[m/s^2],Ekin[J],Epot [J],Pkin[W],Ppot[W],Curvature
0,1.0519412589016,-3.05843836967608,3129.43,11.2864389989138,10.9416666666667,1.09428358288179,-4.00930448161877,10.3589583097819,-2.00029137529344,-1.03517478852333,-0.0561072241443235,-0.35031656593588,0.378317175946426,1.02748362590868,5098.52685571539,91242.6590769239,353.035865167016,-1588.73701843781,0.00806074078670051
0.1,0.706412675014794,-2.03525085837858,3129.26,11.2864389989138,10.9111111111111,1.09428358288179,-4.00930448161877,10.3589583097819,-2.00029137529344,-1.03517478852333,-0.0561072241443235,-0.35031656593588,0.378317175946426,1.02748362590868,5093.05887324857,91097.1692307705,353.035865167016,-1588.73701843781,0.00806074078670051
0.2,0.353206695500452,-1.04543053474845,3129.07,11.2864389989138,10.7305555555556,1.09428358288179,-4.00930448161877,10.3589583097819,-2.00029137529344,-1.03517478852333,-0.0561072241443235,-0.35031656593588,0.378317175946426,1.02748362590868,5091.55045131597,90950.03295105,353.035865167016,-1588.73701843781,0.00806074078670051
0.3,0,0,3128.87,11.2864389989138,10.9861111111111,1.09428358288179,-4.00930448161877,10.3589583097819,-2.00029137529344,-1.03517478852333,-0.0561072241443235,-0.35031656593588,0.378317175946426,1.02748362590868,5093.10094544543,90800.728867134,353.035865167016,-1588.73701843781,0.00806074078670051
0.4,-0.376241740542869,1.02318742407067,3128.67,11.2864389989138,11.0694444444444,1.09428358288179,-4.00930448161877,10.3589583097819,-2.00029137529344,-1.03517478852333,-0.0561072241443235,-0.35031656593588,0.378317175946426,1.02748362590868,5096.90113021638,90648.7356083923,353.035865167016,-1588.73701843781,0.00806074078670051
0.5,-0.767839222638688,2.04637234377462,3128.48,11.2864389989138,11.0583333333333,1.09428358288179,-4.00930448161877,10.3589583097819,-2.00029137529344,-1.03517478852333,-0.0561072241443235,-0.35031656593588,0.378317175946426,1.02748362590868,5102.16252442413,90493.5318041966,353.035865167016,-1588.73701843781,0.00806074078670051
0.6,-1.17479425568225,3.1029244360219,3128.28,11.3830542660761,11.2944444444444,1.84577325650118,-4.21977243314187,10.3689604821561,-2.06206293706451,-1.75267979606316,-0.307239640940569,-0.490506116090007,0.45871771779579,1.78998097634364,5186.89793619498,90330.3702377622,395.521769941562,-1633.06178395111,0.0137980215434963
0.7,-1.62014005794262,4.1261093049884,3128.08,11.4283568411934,11.3472222222222,2.71489804967699,-4.46092131452132,10.3044081242624,-2.1276029526058,-2.58540078788408,-0.683380325865244,-0.468364725794616,0.480203230368272,2.675310092781,5224.43555559968,90165.0500139865,385.534132608086,-1671.28500497155,0.0204589735493276
0.8,-2.08084352639195,5.16041814702651,3127.86,11.4772071998262,11.3944444444444,3.70672394982853,-4.74457818001546,10.2239990875515,-2.16451048951244,-3.50294753755811,-1.19956978786747,-0.173762232327853,0.412270871127271,3.6836144535767,5266.33517603494,89998.8151048956,337.642848317454,-1689.80006226826,0.0279650011801011
0.9,-2.56458200370783,6.16136220923867,3127.63,11.4968491823618,11.3833333333333,4.8210324969907,-5.10788228115597,10.0691652446727,-2.16771561771878,-4.44287141268885,-1.83710690810507,0.358170567670121,0.297396195158224,4.8079239825764,5280.7343481061,89830.5861818189,297.750672811814,-1675.4666875311,0.0364044522068117
1,-3.09438940803261,7.17342542583975,3127.41,11.5186072756079,11.5055555555556,5.97381179466885,-5.57830874855206,9.85031974753936,-2.12884615384718,-5.31889674426898,-2.52531348713035,1.00923563831597,0.229784335893074,5.96294963341703,5295.59206654164,89660.9120559445,327.765813489042,-1616.66400639,0.0449914582036071
1.1,-3.67794658285822,8.14100476055476,3127.22,11.5752907137421,11.4611111111111,7.04669165810466,-6.16587894045729,9.59371156152557,-1.98242035742199,-6.14039300522102,-3.09690622966489,1.53642730726105,0.44096085110449,7.02349117826604,5351.76800725058,89501.976335665,552.299355240144,-1517.08874761692,0.052489140595725
1.2,-4.32292918702333,9.08633864845074,3127.03,11.6362865269191,11.5583333333333,7.61208310802522,-6.8283243801058,9.25079647012228,-1.78883061383295,-6.53815245005371,-3.46359468824658,1.7888218521948,0.808137282107198,7.56573203014645,5413.59636176186,89354.7668811192,836.072581621348,-1389.92929466869,0.0559001971746575
1.3,-5.0370185180294,9.99831010986575,3126.84,11.7304052414545,11.7444444444444,7.40190151592432,-7.50135875727727,8.87268995641886,-1.61474358974595,-6.34000557625093,-3.49372423436471,1.54478681984364,1.19906256616598,7.31920050463827,5504.49283468038,89221.5155244761,1107.41329750584,-1269.65762824613,0.0530814513046403
