time[s],xPos[m],yPos[m],zPos[m],speed[m/s],speed protern[m/s],acceleration[m/s^2],vx[m/s],vy[m/s],vz[m/s],ax[m/s^2],ay[m/s^2],az[m/s^2],aCourse[m/s^2],aCentripetal[m/s^2],Ekin[J],Epot [J],Pkin[W],Ppot[W],Curvature
0,-2.62072150063389,-2.39078380441506,2061.49,12.1390369340122,11.4027777777778,2.11370918761534,8.23602995331774,8.78290610320806,-1.54421134421326,-0.238790499771185,0.247852970346589,-2.08550102664057,0.282612040776201,2.08318895853476,5906.35603148158,73422.4304895104,367.390257635538,-1276.0631261513,0.0142154216133755
0.1,-1.73182087241728,-1.62350849070943,2061.39,12.1390369340122,11.5472222222222,2.11370918761534,8.23602995331774,8.78290610320806,-1.54421134421326,-0.238790499771185,0.247852970346589,-2.08550102664057,0.282612040776201,2.08318895853476,5887.01758420273,73320.0223216783,367.390257635538,-1276.0631261513,0.0142154216133755
0.2,-0.865911330657908,-0.833995103801811,2061.26,12.1390369340122,11.7222222222222,2.11370918761534,8.23602995331774,8.78290610320806,-1.54421134421326,-0.238790499771185,0.247852970346589,-2.08550102664057,0.282612040776201,2.08318895853476,5880.47547154008,73224.9682237761,367.390257635538,-1276.0631261513,0.0142154216133755
0.3,0,0,2061.1,12.1390369340122,11.9444444444444,2.11370918761534,8.23602995331774,8.78290610320806,-1.54421134421326,-0.238790499771185,0.247852970346589,-2.08550102664057,0.282612040776201,2.08318895853476,5884.19625409908,73130.6458741258,367.390257635538,-1276.0631261513,0.0142154216133755
0.4,0.835259303010663,0.856235081576331,2060.99,12.1390369340122,11.9305555555556,2.11370918761534,8.23602995331774,8.78290610320806,-1.54421134421326,-0.238790499771185,0.247852970346589,-2.08550102664057,0.282612040776201,2.08318895853476,5897.56750783091,73030.4329510487,367.390257635538,-1276.0631261513,0.0142154216133755
0.5,1.63986474638127,1.72358808445095,2060.87,12.1390369340122,11.9333333333333,2.11370918761534,8.23602995331774,8.78290610320806,-1.54421134421326,-0.238790499771185,0.247852970346589,-2.08550102664057,0.282612040776201,2.08318895853476,5921.21401156571,72917.7071328666,367.390257635538,-1276.0631261513,0.0142154216133755
0.6,2.47512351263144,2.61318309453466,2060.7,12.2082119710918,12.1972222222222,3.17512467949904,8.19425896400852,8.85587293163349,-1.86227661227761,-0.215648505829506,0.260232013851635,-3.1570859588019,0.525619091859332,3.11807472766619,5984.11383787853,72777.3944055947,525.972528464427,-1532.21811889683,0.0210098429312313
0.7,3.29505418171456,3.50277603601733,2060.5,12.2789443922768,12.2722222222222,3.72531383737802,8.16847452848116,8.8699782126778,-2.31775446775544,0.0244315159837886,0.182903699686719,-3.72074085695682,0.850698843329493,3.6307439873333,6031.56203801936,72609.6045314683,710.613078352553,-1818.60314147328,0.0240553338027818
0.8,4.11498648244373,4.38125117681032,2060.23,12.3773026417673,12.3833333333333,3.50737517854762,8.19562203842399,8.85932949350586,-2.7462121212129,0.575324614189311,-0.0646217335641628,-3.45926383251567,1.10221996822655,3.36427262763627,6105.32312743091,72416.624223776,882.062132046516,-2091.56563678703,0.0217345636388258
0.9,4.95024428416638,5.25972634567856,2059.95,12.4760913410834,12.4555555555556,2.86845190778484,8.28612063236388,8.81820239343188,-3.03848096348187,1.48173758119569,-0.549596161657096,-2.39382834531606,1.17865504589662,2.66444676790841,6197.83892138013,72192.7275524477,1020.52216522921,-2306.19786069391,0.0168008981518192
1,5.770173939659,6.1381993929336,2059.61,12.5805293595369,12.5138888888889,3.0850642300047,8.46874464221759,8.74568975689813,-3.17222222222319,2.64346611959889,-1.38453774601,-0.782792059017471,1.01436847005484,2.92161938330029,6311.72477961257,71950.6652307694,1043.67206671888,-2429.89014458754,0.018408660842043
1.1,6.62075698788801,7.00555465029933,2059.29,12.6775907730531,12.5527777777778,4.62781743252296,8.7885653654742,8.57651573512798,-3.15052447552629,3.81439469957489,-2.52722500306137,0.692979832693445,0.762370579003409,4.55387548322832,6420.47968554415,71704.1026573425,919.733267519146,-2446.32228503425,0.0284006547541888
