time[s],xPos[m],yPos[m],zPos[m],speed[m/s],speed protern[m/s],acceleration[m/s^2],vx[m/s],vy[m/s],vz[m/s],ax[m/s^2],ay[m/s^2],az[m/s^2],aCourse[m/s^2],aCentripetal[m/s^2],Ekin[J],Epot [J],Pkin[W],Ppot[W],Curvature
0,2.5385084703746,-2.43552900685297,2981.8,12.3389645623327,12.0444444444444,4.29584587832037,-6.99237665919296,9.37180327043017,-3.94030691530878,3.60649373454092,2.14892577047986,0.9108308218142,-0.702458134904226,4.26074642971738,6078.94014237686,91338.2071048951,-513.964121033492,-3069.55863546869,0.0278359431667183
0.1,1.69233797917412,-1.63480651187345,2981.41,12.3389645623327,12.0666666666667,4.29584587832037,-6.99237665919296,9.37180327043017,-3.94030691530878,3.60649373454092,2.14892577047986,0.9108308218142,-0.702458134904226,4.26074642971738,6099.09352319247,91004.9689510491,-513.964121033492,-3069.55863546869,0.0278359431667183
0.2,0.846167812787078,-0.811841732375816,2981,12.3389645623327,12.1638888888889,4.29584587832037,-6.99237665919296,9.37180327043017,-3.94030691530878,3.60649373454092,2.14892577047986,0.9108308218142,-0.702458134904226,4.26074642971738,6104.59297506985,90673.4504055941,-513.964121033492,-3069.55863546869,0.0278359431667183
0.3,0,0,2980.56,12.3389645623327,12.1416666666667,4.29584587832037,-6.99237665919296,9.37180327043017,-3.94030691530878,3.60649373454092,2.14892577047986,0.9108308218142,-0.702458134904226,4.26074642971738,6097.473364205,90345.7278041961,-513.964121033492,-3069.55863546869,0.0278359431667183
0.4,-0.769244917497579,0.87857061317364,2980.09,12.3389645623327,12.1472222222222,4.29584587832037,-6.99237665919296,9.37180327043017,-3.94030691530878,3.60649373454092,2.14892577047986,0.9108308218142,-0.702458134904226,4.26074642971738,6080.14546205071,90023.8774825172,-513.964121033492,-3069.55863546869,0.0278359431667183
0.5,-1.47694829082337,1.84610798164343,2979.73,12.3389645623327,12.2527777777778,4.29584587832037,-6.99237665919296,9.37180327043017,-3.94030691530878,3.60649373454092,2.14892577047986,0.9108308218142,-0.702458134904226,4.26074642971738,6055.19250636638,89709.9757762233,-513.964121033492,-3069.55863546869,0.0278359431667183
0.6,-2.12311350003343,2.80252647892031,2979.39,12.2185281264925,12,7.01505034738138,-6.28650186252753,9.80100742892783,-3.70304972805218,6.10194263892874,3.27735806466191,1.11182351275484,-0.847532589440895,6.98015605817675,5983.44728919714,89408.6418461532,-632.688694319914,-2955.22934976594,0.0466444566333769
0.7,-2.7385084702041,3.77006611758007,2978.99,12.1336390423112,11.8888888888889,9.69172101523523,-5.47670186143302,10.2243997586683,-3.5626651126675,8.70584970583199,4.09214108574912,1.17983832406871,-0.827701051633639,9.66453336239851,5911.82673355629,89117.0584615379,-661.950386579281,-2853.23266239633,0.0655887207762568
0.8,-3.25390030035304,4.80432996909403,2978.62,12.0619798288679,11.9361111111111,11.8474249970245,-4.54114371547407,10.6225606777001,-3.46851204351441,10.9922558189833,4.26950076621711,1.1415578292048,-0.706674167800877,11.8308980672853,5836.76079724455,88841.7381818177,-619.285184140169,-2758.67104471161,0.0812854495958228
0.9,-3.65390635960624,5.89420195671118,2978.31,12.0198105039593,11.9111111111111,13.1875558484099,-3.38490103240657,11.0139374234062,-3.42220279720481,12.6333812643602,3.62769357987667,1.07198245077307,-0.538785244902275,13.1796664987163,5775.98014323234,88575.875748251,-557.266810310576,-2667.2778841653,0.0912024089619442
1,-3.90006295823443,7.03967667558762,2977.98,12.0098429603873,11.9722222222222,13.8613385413774,-2.06119616293231,11.3645494687588,-3.29162781662965,13.5991836221347,2.34301901130238,1.30735338865015,-0.475156123176271,13.8581883613006,5762.61935176266,88309.7206153842,-467.183044100274,-2562.82199390237,0.0960450973144203
1.1,-4.06160316027476,8.17403279734239,2977.62,11.9841777179292,11.9444444444444,14.636120923418,-0.628130193666246,11.5511311250274,-3.13006993007154,14.4343025247801,1.07811642206393,2.16901159252706,-0.28390058332303,14.6353918125914,5730.00934278192,88054.0843636366,-252.754361119689,-2409.61152851828,0.101889114933598
1.2,-4.05390955394443,9.34175218232738,2977.35,11.9737908349064,11.9277777777778,14.7935411096128,0.820594367855659,11.5831445251045,-2.92045454545562,14.4653920896136,-0.0884592894855157,3.09733195018752,0.150325439534531,14.7920606566859,5704.42872761983,87823.1629090908,217.125061366515,-2187.34136241436,0.103177828878944
1.3,-3.89236787225199,10.4872263456983,2977.05,11.9865387726501,11.9583333333333,14.1159937605361,2.23589373510073,11.4776784299929,-2.63453768453914,13.6367770049039,-0.876150920014131,3.54004976396898,0.926690469911999,14.0928122388772,5711.01605280605,87609.9680559438,949.624792930699,-1928.60961514061,0.0980360959073828
1.4,-3.60774685741824,11.6327031222328,2976.79,12.0756293610947,12.1,12.4922417705307,3.55201680758252,11.3273437257267,-2.21252913753104,12.1073309590805,-1.16609652502633,2.84760608143126,1.94575825203716,12.3923977459109,5826.3294167836,87424.1588811181,1808.44402819415,-1707.31362087867,0.0846228813816275
1.5,-3.18466339694806,12.7670560151732,2976.58,12.298502572578,12.3416666666667,10.1010929439726,4.70003681372493,11.2100830981281,-1.86998834499069,10.0112157684893,-1.0536609694059,0.835126374313658,2.73852681271,9.82407701378621,6079.56419469822,87267.7659860134,2589.04178082233,-1614.62863611894,0.0642815311547922
1.6,-2.66157758774342,13.8791693517656,2976.42,12.5949221241373,12.5444444444444,7.87619450100535,5.53687611805635,11.1599641364753,-1.85209790210033,7.52308487315999,-0.81491757867662,-2.18484396441993,2.90644773966971,7.32993232316223,6396.72029601117,87117.8124755245,2997.5863451619,-1704.33748219067,0.0461464986366454
1.7,-2.07695248008886,14.9579192144444,2976.22,12.9010033421805,12.55,7.22638585296152,6.1517585537364,11.1158279972808,-2.24279331779645,4.83623096662285,-0.69474655422373,-5.32436378910709,2.63313547365516,6.60226074920255,6714.43665121771,86938.3878041957,2821.38148672714,-1993.94049847529,0.040433468658074
1.8,-1.43848222710452,16.0811508974967,2976.03,13.1656035250153,13.0222222222222,7.79868891564352,6.50655167307389,11.0388764491048,-3.0234265734285,2.15851299405232,-0.814307814192851,-7.44964920256201,2.09476916798631,7.43906726487629,6957.72668655639,86720.7658741256,1999.99551969235,-2450.68288913886,0.0433390330560604
1.9,-0.784625866417296,17.204384835136,2975.69,13.3735665090809,13.2333333333333,7.62524602368983,6.59723487190378,10.9503021088448,-3.92678710178905,-0.282757927094076,-1.03764369887638,-7.54902115711999,1.2274561508179,7.53978952098035,7113.98950224491,86449.6714405592,762.760687715016,-2979.87571258694,0.0420783236029467
2,-0.138463769403983,18.3164945208744,2975.2,13.4567843351076,13.1611111111111,6.24196616508851,6.44750749609901,10.8468001147188,-4.67564102564341,-2.4340202742408,-1.0685898817793,-5.64763690186023,-0.0652326735689834,6.23303860453958,7143.82679683419,86124.9032727267,-530.95983841176,-3454.21179454663,0.0344679225490399
2.1,0.515391915130797,19.3507586786697,2974.65,13.349892853683,12.8583333333333,5.14566503255255,6.09687822021894,10.7160363250503,-5.11998834499058,-4.31264342608348,-0.748026341393898,-2.70544486162143,-1.53242376453755,4.86441906861387,7008.08444540402,85752.498293706,-1602.79446751042,-3779.83280160451,0.0275625259382294
2.2,1.09232305091129,20.4183862188223,2974.15,13.0723765726422,12.6833333333333,5.78694088222385,5.57777227067977,10.6217170355507,-5.19178321678525,-5.7803982772577,-0.27363791894793,0.0283340774296865,-2.69999521213024,5.14931519252305,6758.33987942302,85357.0066573422,-2360.79429694851,-3926.04627968848,0.0299523470434383
2.3,1.6154058145744,21.4860111295808,2973.66,12.7150218001555,12.4972222222222,7.11114643492637,4.96055312976831,10.6190163187821,-4.9296231546249,-6.89994297599598,0.180660571575851,1.71071689792543,-3.20426393587452,6.41503132088414,6485.84395171233,84955.4780979015,-2743.28410702768,-3906.34181166203,0.0392666825707736
2.4,2.06156537648406,22.5536385032389,2973.19,12.4109447147077,12.2638888888889,8.02165401924651,4.21478496370452,10.7143706565659,-4.63350815851011,-7.71569157087395,0.444676187931322,2.14879032842322,-3.03860775327136,7.44973412140024,6232.82654351529,84572.8286433562,-2757.86025482352,-3784.8612610239,0.0481970526045662
2.5,2.45387694782578,23.6212631973106,2972.72,12.178367232117,12.1138888888889,8.4220690218703,3.41782329354408,10.7955094916764,-4.48197358197622,-8.24247650212151,0.350347566355297,1.69413231592781,-2.62614875888149,8.00475589145005,5985.90614346733,84210.3022657334,-2559.39944340491,-3632.45528518128,0.0539546876332991
2.6,2.76157275725478,24.7111327043653,2972.3,11.9438211603222,12.0333333333333,8.47006769982322,2.59174090755133,10.7766704512618,-4.4498445998469,-8.42749706504572,-0.100028784921578,0.842219864656205,-2.23275393202492,8.16783700037127,5714.12831943214,83858.5508811183,-2297.69607811718,-3509.68500692751,0.057274506517643
2.7,2.98465176074446,25.7787597430903,2971.86,11.7370739141146,11.7694444444444,8.25974262123844,1.73154537978124,10.7361634161764,-4.41536519036678,-8.22884226124769,-0.705777710452194,0.106681919910025,-1.8997067269143,8.02013535196013,5503.64439692685,83510.6594685311,-2023.01802047377,-3450.23426377791,0.0583505815699871
2.8,3.09234445015684,26.8686261798646,2971.41,11.5367193651486,11.6833333333333,7.88532344125787,0.904222463971233,10.6193119683799,-4.41684149184338,-7.76254921779323,-1.35693909956328,-0.282615807528619,-1.74924613636579,7.65794819825713,5319.37326673508,83165.3474685307,-1814.166814687,-3456.41162338761,0.0577692744565109
2.9,3.1538828430342,27.902889349439,2970.95,11.3343930081857,11.3611111111111,7.63518029459982,0.135012681742116,10.4339365861373,-4.42529137529308,-7.36599676642926,-1.96464727313213,-0.422173969085814,-1.73147915381842,7.40247056322175,5146.57286767233,82820.9501538459,-1687.16253033545,-3490.29250558234,0.0578839304317386
3,3.11542016832072,28.9371499418556,2970.51,11.1768006460983,11.2527777777778,7.74671266563843,-0.554165840747057,10.2227667249998,-4.48428515928793,-7.25073521222395,-2.68071190168817,-0.502174975806272,-1.89090666737231,7.50177107341191,5001.10393442097,82471.5037762233,-1699.92052724461,-3528.59372715824,0.0601372015874608
3.1,3.03080301890713,29.9491706057373,2970.08,11.0089923787243,11.0805555555556,8.34751275551199,-1.22263189265951,9.95056982806046,-4.54854312354563,-7.55650092055385,-3.50714714473315,-0.5293221573809,-2.11205967627068,8.10917696905408,4846.47738299873,82111.904391608,-1747.67963507144,-3566.59143951594,0.066633991870929
3.2,2.87695422493926,30.9167064453385,2969.62,10.7838047269273,10.8138888888889,9.27297350540901,-1.98719248101292,9.54447877907145,-4.6091686091703,-8.20262391554072,-4.31111932728975,-0.34532401898182,-2.15652437376482,9.07343428064717,4642.23102734535,81751.1159160838,-1648.75298034881,-3597.24160627256,0.077553467480636
3.3,2.64618219768322,31.8619976258313,2969.16,10.5763197562791,10.6833333333333,10.1853942763539,-2.87580674856819,9.07576105020463,-4.60639083139261,-8.86952400768953,-5.00731786914172,-0.0238369288471685,-1.87479026081703,10.0481761824188,4471.76880357117,81394.1142377618,-1374.40701672527,-3609.61224542414,0.0895002248515371
3.4,2.32310088027646,32.7628061535726,2968.67,10.4013351382626,10.5416666666667,10.7754558571512,-3.82501092287453,8.50682878305796,-4.60336052836224,-9.23722245249837,-5.54279666382125,0.248143982409375,-1.24613248802048,10.7067321312945,4327.43588660268,81035.283188811,-1003.53556444189,-3612.55746817318,0.0989313143056635
3.5,1.89232736186019,33.5635227408204,2968.21,10.3347655852703,10.2777777777778,10.8407005718,-4.78618468820296,7.94766056910062,-4.55351592851749,-9.13723708959285,-5.81340529024047,0.48580468029604,-0.453090789335929,10.8240637023858,4282.71576557405,80674.4398321672,-580.413638113,-3595.97909889724,0.10140898429532
3.6,1.33847476405585,34.3086357307521,2967.79,10.3057001191456,10.225,10.5265969649567,-5.67724638195853,7.36961355762238,-4.43453768453989,-8.6870445642627,-5.85958583725117,1.00486527307634,0.162967692961683,10.5265886521275,4272.09147792996,80318.9016503492,-166.558425800087,-3532.46809819548,0.0991016628838044
3.7,0.730775495939935,35.031506306928,2967.37,10.3437509830678,10.2888888888889,10.2286810874542,-6.4847642317283,6.80014299224466,-4.32424242424476,-8.14687553624315,-5.83662891521261,2.04648447145586,0.414855394010663,10.22048432843,4275.43253857823,79971.2480559436,194.503620876011,-3383.90813601252,0.0955225776168134
3.8,0.0461542952684333,35.6876484269761,2966.91,10.4155059064984,10.4305555555556,10.1317892908171,-7.23618959028087,6.20913423940704,-4.19129759129994,-7.63008560394676,-5.68970699048524,3.47306525599262,0.511539385544631,10.1061051348909,4275.5179113312,79633.0157202793,574.831241753183,-3136.4677063258,0.0932762708321791
3.9,-0.692315110392753,36.2993078652405,2966.51,10.4954441052109,10.4444444444444,10.0375497748761,-7.9657081532876,5.66567574054143,-3.821250971252,-7.10242274800692,-5.41777530817278,4.57774041442517,0.799182347295715,9.98491424626879,4337.77976084396,79330.8585734262,981.854296835941,-2817.86984074147,0.0908333108329733
4,-1.52309088664706,36.8219974384853,2966.15,10.5855604468592,10.6,9.4185613759473,-8.66966097058442,5.14719104733619,-3.22451437451544,-6.38688147557023,-4.90929755845759,4.88014763014671,1.35721660651371,9.32609094300973,4464.46852111753,79068.1792447552,1367.11357601296,-2476.17968898294,0.0831764445838192
