time[s],xPos[m],yPos[m],zPos[m],speed[m/s],speed protern[m/s],acceleration[m/s^2],vx[m/s],vy[m/s],vz[m/s],ax[m/s^2],ay[m/s^2],az[m/s^2],aCourse[m/s^2],aCentripetal[m/s^2],Ekin[J],Epot [J],Pkin[W],Ppot[W],Curvature
0,-1.73259251769259,3.75902117849358,2638.57,15.4176754966942,13.7416666666667,3.55748156463429,5.72984112421621,-12.9409744299339,-6.11594794094923,2.80969213901904,1.63483661171311,-1.44520393704482,0.245270619366124,3.55164911106595,9561.09430154624,82975.4222097903,187.179238875396,-4841.06955531774,0.0149303574359494
0.1,-1.1067232081876,2.58015824162448,2638.19,15.4176754966942,13.9833333333333,3.55748156463429,5.72984112421621,-12.9409744299339,-6.11594794094923,2.80969213901904,1.63483661171311,-1.44520393704482,0.245270619366124,3.55164911106595,9462.89159309748,82738.774825175,187.179238875396,-4841.06955531774,0.0149303574359494
0.2,-0.564810512557778,1.3345644948502,2637.82,15.4176754966942,14.2111111111111,3.55748156463429,5.72984112421621,-12.9409744299339,-6.11594794094923,2.80969213901904,1.63483661171311,-1.44520393704482,0.245270619366124,3.55164911106595,9445.49522192601,82427.4342377624,187.179238875396,-4841.06955531774,0.0149303574359494
0.3,0,0,2637.39,15.4176754966942,14.8111111111111,3.55748156463429,5.72984112421621,-12.9409744299339,-6.11594794094923,2.80969213901904,1.63483661171311,-1.44520393704482,0.245270619366124,3.55164911106595,9482.96250840571,82053.2456223778,187.179238875396,-4841.06955531774,0.0149303574359494
0.4,0.549544235140902,-1.32343973079016,2636.85,15.4176754966942,15.025,3.55748156463429,5.72984112421621,-12.9409744299339,-6.11594794094923,2.80969213901904,1.63483661171311,-1.44520393704482,0.245270619366124,3.55164911106595,9552.33508444598,81628.0541538467,187.179238875396,-4841.06955531774,0.0149303574359494
0.5,1.10672253197796,-2.62463952333409,2636.22,15.4176754966942,14.9777777777778,3.55748156463429,5.72984112421621,-12.9409744299339,-6.11594794094923,2.80969213901904,1.63483661171311,-1.44520393704482,0.245270619366124,3.55164911106595,9630.06462565467,81163.7050069934,187.179238875396,-4841.06955531774,0.0149303574359494
0.6,1.70969494547438,-3.8813505757065,2635.61,15.5042470813299,14.9361111111111,6.37522319722786,6.18981363563304,-12.641959789996,-6.49990287490381,5.35930485619725,3.25638317585816,-1.14773293269847,-0.0344301985091753,6.37514777919529,9595.41699064557,80673.7812587411,-382.760366393124,-5068.53358110535,0.0265208658537136
0.7,2.35846438840083,-5.10470018867193,2634.96,15.4895966349337,14.85,9.87466194266323,6.88789531964542,-12.1952877540228,-6.61509324009398,8.27401478996198,5.38862906918895,0.110925615002668,-0.610675530221333,9.86595362935104,9520.52850776904,80157.5145734265,-993.219534482142,-5135.96916458957,0.041078061831993
0.8,3.06066222528744,-6.30580659436433,2634.28,15.4506656661972,14.9472222222222,13.7758823268905,7.90319973263306,-11.5852301289468,-6.48420745920863,11.082543126835,7.82562254150196,2.38993798331945,-1.20195079411966,13.7589525577572,9454.52958441618,79639.894153846,-1187.31521312552,-5006.88236947242,0.057486471062514
0.9,3.92314211757942,-7.45130318343883,2633.67,15.3278566009631,15.1555555555556,17.3514070344611,9.08552462814233,-10.7205986319673,-6.12088189588448,13.1095893241596,10.1513069650023,5.11477865891779,-1.3718517555615,17.3418717941907,9298.65769728389,79147.8849230768,-680.988106702884,-4672.25807292914,0.073622440007542
