time[s],xPos[m],yPos[m],zPos[m],speed[m/s],speed protern[m/s],acceleration[m/s^2],vx[m/s],vy[m/s],vz[m/s],ax[m/s^2],ay[m/s^2],az[m/s^2],aCourse[m/s^2],aCentripetal[m/s^2],Ekin[J],Epot [J],Pkin[W],Ppot[W],Curvature
0,-1.70969546705753,3.54771585400677,2639.47,15.0234290097238,12.9777777777778,3.10179577461172,5.56903694260783,-12.6236676057662,-5.94409479409691,1.87232272059101,1.36709637004673,-2.06072612745188,0.360664378396905,3.07875353510256,9086.19655976375,84553.8031888115,401.155148586169,-4709.3611064929,0.0136495766201344
0.1,-1.07619333698974,2.46894487203168,2639.03,15.0234290097238,13.1805555555556,3.10179577461172,5.56903694260783,-12.6236676057662,-5.94409479409691,1.87232272059101,1.36709637004673,-2.06072612745188,0.360664378396905,3.07875353510256,8979.37974554419,84312.3262657349,401.155148586169,-4709.3611064929,0.0136495766201344
0.2,-0.511382760634062,1.25671513546023,2638.68,15.0234290097238,13.5583333333333,3.10179577461172,5.56903694260783,-12.6236676057662,-5.94409479409691,1.87232272059101,1.36709637004673,-2.06072612745188,0.360664378396905,3.07875353510256,8958.00035133919,84006.6750209801,401.155148586169,-4709.3611064929,0.0136495766201344
0.3,0,0,2638.28,15.0234290097238,13.9805555555556,3.10179577461172,5.56903694260783,-12.6236676057662,-5.94409479409691,1.87232272059101,1.36709637004673,-2.06072612745188,0.360664378396905,3.07875353510256,8997.64835429973,83644.9901538468,401.155148586169,-4709.3611064929,0.0136495766201344
0.4,0.564809542156727,-1.3011972346041,2637.78,15.0234290097238,14.675,3.10179577461172,5.56903694260783,-12.6236676057662,-5.94409479409691,1.87232272059101,1.36709637004673,-2.06072612745188,0.360664378396905,3.07875353510256,9077.90670352102,83235.412363637,401.155148586169,-4709.3611064929,0.0136495766201344
0.5,1.11435542588226,-2.56903312317982,2637.19,15.0234290097238,14.8444444444444,3.10179577461172,5.56903694260783,-12.6236676057662,-5.94409479409691,1.87232272059101,1.36709637004673,-2.06072612745188,0.360664378396905,3.07875353510256,9178.28037685815,82786.0823496508,401.155148586169,-4709.3611064929,0.0136495766201344
0.6,1.6867977696873,-3.79238033504594,2636.54,15.1202363226708,14.8305555555556,4.85133334322706,5.89013138938646,-12.3186476848495,-6.49452214452521,3.6931638570975,2.38875822627896,-2.04690255462246,0.371727214823647,4.84045477022712,9107.57839645442,82308.0312167844,137.005720027695,-5009.13411576854,0.0211575456978731
0.7,2.2974045085962,-4.99348741325447,2635.9,15.1613437754322,14.8444444444444,6.96695572647964,6.36873971014623,-12.0042308001057,-6.72338772339031,5.80488472188588,3.66789017765911,-1.17828990701576,0.0568352981914337,6.96689971711414,9098.32738113199,81791.252307693,-304.532974424793,-5182.37810846553,0.0303077159629778
0.8,2.96143952171044,-6.17235135438767,2635.22,15.1359921410338,14.9111111111111,9.47229110557211,7.0480513105626,-11.6126036596109,-6.67612665112831,7.90686696708639,5.18493438590924,0.567634536752823,-0.546524067710435,9.46178014399998,9096.35820067213,81265.1070209798,-796.896901984702,-5203.09178639638,0.0412770991984311
0.9,3.70179860584324,-7.32896947729845,2634.55,15.0937130996379,15.125,12.2290928847648,7.97481534191762,-11.0540903846858,-6.48302253302365,9.69476451702934,6.86565391533385,2.90259367780167,-1.15261117168087,12.1985907843642,9061.39015565088,80745.1815944057,-1076.29898009923,-5046.69161360901,0.0534397535387476
1,4.5337507013378,-8.39661906083155,2633.93,14.9658787128447,14.925,14.8367223700663,8.99422762563133,-10.2989238694637,-6.08387723387786,10.9754568139889,8.54129834789483,5.16854921065276,-1.38282848758815,14.8105695756254,8921.62035152788,80254.4346293709,-845.838260499652,-4713.80340685097,0.0659536702080409
1.1,5.51071954658034,-9.40865905991917,2633.34,14.8482448238076,15.0888888888889,16.7707948131242,10.1233558155429,-9.35474939046327,-5.5205710955723,11.8045814214207,10.0888056965003,6.33462041066596,-0.663175574934334,16.769188927367,8773.71104566447,79803.3667132874,-39.3161362502902,-4251.63956900945,0.0760087499198696
1.2,6.59454696841559,-10.2761234216119,2632.82,14.8276290449655,14.9111111111111,17.3522814272394,11.3212615049596,-8.26339382834248,-4.83776223776418,11.8572893395191,10.8697083988417,6.50813334015162,0.872289851820024,17.3288841911798,8776.91604472567,79397.6488951052,1418.99757117984,-3761.17080476574,0.0788249544042475
1.3,7.76996559419729,-11.0212523446171,2632.34,14.9805955087534,14.775,16.3620684697785,12.5035547456489,-7.12718960129623,-4.15722610722787,11.0781967461847,10.7558016931396,5.4132773252808,2.62699728276652,16.2146940921578,9004.48192736771,79047.8183496505,3079.72591195061,-3327.434952972,0.0719629736457343
1.4,9.04460487037206,-11.7107726429345,2631.99,15.3158167291246,14.9611111111111,13.9330293341323,13.5753195175651,-6.08880321811364,-3.63475135975471,9.50020625472753,9.73253133595926,3.0254291163401,3.83343478939717,13.5494090771928,9451.45730218214,78740.7401958044,4291.39114306382,-3031.76761569419,0.0571047387995814
1.5,10.4718989179388,-12.2779589240923,2631.64,15.7285405903452,15.5472222222222,10.6199273953189,14.4303517716254,-5.23447666940408,-3.42814685314802,7.23648946039179,7.77231410118691,0.0849216343122669,4.03406581031978,9.96188255929929,9980.87948482324,78453.6387692314,4574.64334760277,-2924.597910248,0.039710690381452
1.6,11.967882563655,-12.7450514568293,2631.31,16.1007729149637,15.8638888888889,7.1629323735595,14.998064938756,-4.60864647497853,-3.61293706293826,4.56776182866425,4.95354086062567,-2.4301409438336,3.38234794545923,6.3684977121053,10431.4639757555,78165.1653146861,3756.09572309243,-2999.23260729873,0.024356511475829
1.7,13.4944000910368,-13.1787805367539,2630.97,16.3621187807985,16.15,4.07979916877288,15.289889511023,-4.21582943240363,-4.02057109557179,1.70175355940684,1.42536012388049,-3.42303149237885,2.06410249590751,3.55494953722444,10718.3461761789,77860.3738741259,2020.91123421946,-3178.65463478187,0.0131448500213364
1.8,15.0209174120838,-13.6125089563676,2630.53,16.4899233408401,16.4111111111111,3.68687548200279,15.2988436739098,-4.22338505451299,-4.47503885004038,-1.17006085783602,-2.55994311189689,-2.38132309286351,0.21634792397255,3.68035812204291,10802.3879198591,77531.7091468539,-103.635256572667,-3345.13567737602,0.0135354338269026
1.9,16.5169007498451,-14.0573571690244,2630.03,16.4668301215597,16.4305555555556,7.69873549815896,15.0788517123982,-4.69279823764064,-4.66501554001807,-3.92713661255421,-6.61898817414389,0.192670307760372,-1.76439207557078,7.55506863162255,10726.5057569462,77181.1285594411,-1982.13637728584,-3399.96153846166,0.027636540314245
2,17.9823573909397,-14.5244489565496,2629.54,16.2235643453263,16.2527777777778,12.5655200734416,14.5619068423077,-5.56141864200677,-4.49728049728212,-6.61812369878477,-10.1885456773783,3.20722160188913,-3.33672101369613,12.2721527922855,10417.6269511,76835.4689790217,-3254.66554585565,-3279.5030971355,0.0460266334787564
