time[s],xPos[m],yPos[m],zPos[m],speed[m/s],speed protern[m/s],acceleration[m/s^2],vx[m/s],vy[m/s],vz[m/s],ax[m/s^2],ay[m/s^2],az[m/s^2],aCourse[m/s^2],aCentripetal[m/s^2],Ekin[J],Epot [J],Pkin[W],Ppot[W],Curvature
0,-0.169233468405701,-2.74692019022694,2978.92,9.92242259107817,8.78888888888889,1.73413804648954,1.07734276336255,9.77095516694733,-1.34990287490402,-0.499604253279616,0.231569976563976,-1.64438611656193,0.397501350320168,1.67733881913591,3944.92751158193,102604.422713287,347.438150575315,-1085.81456844015,0.0171446301270885
0.1,-0.138463728566635,-1.8572286954332,2978.79,9.92242259107817,8.95277777777778,1.73413804648954,1.07734276336255,9.77095516694733,-1.34990287490402,-0.499604253279616,0.231569976563976,-1.64438611656193,0.397501350320168,1.67733881913591,3933.96693016569,102515.405538462,347.438150575315,-1085.81456844015,0.0171446301270885
0.2,-0.0846167699502969,-0.923054878231737,2978.68,9.92242259107817,9.20833333333333,1.73413804648954,1.07734276336255,9.77095516694733,-1.34990287490402,-0.499604253279616,0.231569976563976,-1.64438611656193,0.397501350320168,1.67733881913591,3930.05040788596,102432.260643358,347.438150575315,-1085.81456844015,0.0171446301270885
0.3,0,0,2978.57,9.92242259107817,9.27222222222222,1.73413804648954,1.07734276336255,9.77095516694733,-1.34990287490402,-0.499604253279616,0.231569976563976,-1.64438611656193,0.397501350320168,1.67733881913591,3932.37662561728,102349.454181819,347.438150575315,-1085.81456844015,0.0171446301270885
0.4,0.115386234855296,0.945294868650113,2978.47,9.92242259107817,9.44722222222222,1.73413804648954,1.07734276336255,9.77095516694733,-1.34990287490402,-0.499604253279616,0.231569976563976,-1.64438611656193,0.397501350320168,1.67733881913591,3941.03032393267,102261.452307693,347.438150575315,-1085.81456844015,0.0171446301270885
0.5,0.215387881099298,1.91283420738913,2978.36,9.92242259107817,9.68055555555556,1.73413804648954,1.07734276336255,9.77095516694733,-1.34990287490402,-0.499604253279616,0.231569976563976,-1.64438611656193,0.397501350320168,1.67733881913591,3956.8767595047,102162.721174825,347.438150575315,-1085.81456844015,0.0171446301270885
0.6,0.300004610342391,2.91373694488062,2978.23,10.011566925161,9.98055555555556,2.62661593299013,1.01144583753041,9.81977680245271,-1.66746309246479,-0.951374499994763,0.130687309505164,-2.44477374154167,0.439254559113737,2.58370724013596,4014.67373102054,102044.232839161,356.761340656509,-1284.49710043004,0.0258364632208353
0.7,0.407698325705123,3.91463725194581,2978.04,10.0975246565689,10.1944444444444,3.35770866857339,0.853756783261688,9.86084327562892,-1.99871794871976,-1.4746852708024,-0.0686111216788727,-3.01575916960776,0.405254361789062,3.33373909648814,4072.06177668518,101903.901818182,308.327593495068,-1525.36586793197,0.0326908884477753
0.8,0.507699834534368,4.88217645684455,2977.78,10.1355862419311,10.1361111111111,3.82165872797155,0.67008273366095,9.84077345836983,-2.33243978244176,-1.96579385938832,-0.250690760032284,-3.26770318087594,0.378615040510798,3.80782886046244,4095.3372054557,101738.234013986,268.279808206056,-1789.42109084487,0.0370179461263989
0.9,0.538469406101102,5.83859214271124,2977.54,10.1234864411688,10.0027777777778,4.12627360920936,0.460886618671362,9.77106014874605,-2.60747863248118,-2.38374635057656,-0.384801501318402,-3.34601479954194,0.381894785580185,4.11404136800533,4098.85667273606,101547.613594405,230.085854398758,-2062.21863008881,0.0400894173303193
1,0.561546590170882,6.82837337318485,2977.29,10.12333480011,10.1361111111111,4.42373765018287,0.168431394065368,9.69637814870363,-2.90409867910065,-3.10287979595658,-0.416075864473632,-3.12545558990884,0.446451712735766,4.40474236613291,4110.29111222121,101327.137846154,278.237032599774,-2316.04565276278,0.0429456451185538
1.1,0.561546494775541,7.81815453118941,2976.99,10.194898095477,10.2694444444444,5.18830149741703,-0.177458116642565,9.67954803619826,-3.19543512043787,-4.38019132794048,-0.258122888771602,-2.76871250458169,0.698979892813324,5.13505598988261,4165.99539837664,101082.020475525,570.809022048033,-2533.91289191018,0.0494631736424062
1.2,0.538469163068091,8.77456983942407,2976.65,10.3197430299193,10.1583333333333,6.50119765966693,-0.604008067649304,9.68775567124944,-3.50423465423728,-6.10174170247652,-0.0490543018530166,-2.24319256458011,1.07279301556871,6.37691545322167,4247.70340194487,100817.603244755,1080.33597303377,-2715.81050418066,0.060208904245539
1.3,0.446160092442022,9.71986616134699,2976.29,10.4544600424176,10.1277777777778,7.90284888628919,-1.22334512813329,9.66202526554005,-3.80058275058491,-7.70532762949598,-0.0577223856502252,-1.75488312084968,1.48626885779132,7.70695646345732,4330.14125070386,100534.819132867,1558.2166541375,-2873.07827766515,0.0710167815172825
1.4,0.284619600200777,10.6874022302585,2975.87,10.6049865638446,10.3888888888889,8.77083161417103,-2.17552719513981,9.64396404351404,-3.83754856255132,-8.65775804836801,-0.475197704384606,-1.32094660066506,1.82193490965672,8.56348978708247,4497.49137597669,100246.016391609,1725.5572926053,-3008.79703881114,0.0762855677460861
1.5,0.0538471336247675,11.6660616779789,2975.49,10.8312981165219,10.6194444444444,8.79545356168732,-3.17080218403982,9.61322246794757,-3.8534382284405,-8.64238705152522,-1.22111190685165,-1.08537326223401,1.83236560629927,8.64003087748672,4731.95510295918,99943.9873006994,1464.47449163254,-3122.56178883972,0.0733266762876733
1.6,-0.315388722599096,12.6224787750662,2975.1,11.055314297687,10.8194444444444,7.99026536652073,-4.04846406978682,9.47971592711591,-3.99560994561193,-7.6643404865342,-2.06828549700386,-0.907976121259254,1.36133321277046,7.91978045714293,4918.38157291189,99624.652363637,828.271785775024,-3207.56352356202,0.0644202680281255
1.7,-0.800009616209783,13.5566512932626,2974.72,11.1396571743933,11.0166666666667,7.0157488256654,-4.70200421871345,9.20611513961322,-4.15097125097227,-6.40431315466418,-2.80684713407943,-0.571938604861479,0.596701512228323,7.00299397783616,4958.6462931882,99296.5730349652,139.11950433262,-3245.76787520241,0.0563318317579113
1.8,-1.36155548632421,14.4797049231281,2974.37,11.0960743555115,11.3027777777778,6.52227500354043,-5.21457512278565,8.84755101478062,-4.20141802641923,-5.6945700480619,-3.17414840447814,0.191637929109672,0.0726538318636574,6.5209238438746,4892.42824435179,98971.2743496505,-125.737536287897,-3220.52636282204,0.052970423281892
1.9,-1.84617597315316,15.3360292462321,2973.85,11.0585777394744,10.9527777777778,6.89574811219446,-5.67797090326051,8.51812908365953,-4.18261460761549,-6.03981288169079,-3.01004669158024,1.41831635945662,0.246111649932807,6.87632371043825,4830.88906912579,98652.6345734268,438.962448271647,-3136.68273200018,0.056351575139598
2,-2.40772134884467,16.1589923160859,2973.39,11.0816686291138,10.8166666666667,7.57860054359087,-6.24832332570252,8.23718523058491,-3.98881118881309,-6.84696105722596,-2.3213168275882,2.27283934014327,1.31703837160786,7.41610208797362,4861.23251799035,98341.2939860142,1696.79651601408,-3002.62142044456,0.0607742492447626
2.1,-3.04619070771055,16.9708345000413,2973.05,11.3221242033135,10.9138888888889,7.78309950371837,-7.06267153543183,8.04165927920459,-3.69335664335872,-7.39751188859418,-1.51366261296947,1.88740065619024,2.92374410532557,7.24054544731675,5119.77846938103,98045.5762237762,3091.33099931793,-2877.64324677621,0.0562683566642962
2.2,-3.80773661398284,17.7715537394944,2972.73,11.7410705323059,11.3833333333333,6.98890134929453,-7.91342083644822,7.96181630396623,-3.44092851593079,-6.91944870411383,-0.980487172563655,0.0679456087355407,3.97887523836524,5.9005418191212,5568.12509774464,97760.3407552451,3906.06634499861,-2850.28072342535,0.0416801271488758
2.3,-4.65390036758159,18.5722748541982,2972.37,12.2111181679175,11.8694444444444,6.01445710351672,-8.6275648251149,7.91133104510551,-3.47668997669256,-5.29502903758382,-0.773041719839581,-2.74568174422572,4.02201508815673,4.49462184069299,6060.99430360119,97471.6477762242,3932.59604028127,-2988.51426508125,0.0299897275652063
2.4,-5.57698575614339,19.3507519767303,2972.02,12.5975740059982,12.3611111111111,6.41197574150001,-8.99070943920067,7.8949766738035,-3.94149184149458,-2.88248073346871,-0.673777440807944,-5.68777299925239,3.41449872908412,5.24474705103726,6438.2872474818,97180.5400279722,3340.35065789403,-3310.48587673321,0.0341981772532859
2.5,-6.50007296024671,20.1514730405177,2971.61,12.8989092846074,12.6333333333333,7.54469306825748,-9.11744755086749,7.7922751427214,-4.74704739704972,-0.5115761767981,-0.384110428381599,-7.51752236367499,2.89615260961776,6.89855203808487,6682.54624679708,96835.758545455,2568.5413711494,-3781.42134774366,0.0418716590546136
